# Copied from sedpy
|     lambda |           pass |
| 10000000.0 |            0.0 |
|  9900990.0 |            0.0 |
|  9803922.0 |            0.0 |
|  9718173.0 |            0.0 |
|  9624639.0 |            0.0 |
|  9532888.0 |            0.0 |
|  9442871.0 |            0.0 |
|  9363296.0 |            0.0 |
|  9276438.0 |            0.0 |
|  9191176.0 |            0.0 |
|  9107468.0 |            0.0 |
|  9025271.0 |            0.0 |
|  8952552.0 |            0.0 |
|  8873114.0 |            0.0 |
|  8795075.0 |            0.0 |
|  8718396.0 |            0.0 |
|  8643042.0 |            0.0 |
|  8576329.0 |            0.0 |
|  8503401.0 |            0.0 |
|  8431703.0 |            0.0 |
|  8361204.0 |            0.0 |
|  8298755.0 |            0.0 |
|  8230452.5 |            0.0 |
|  8163265.5 |            0.0 |
|  8097166.0 |            0.0 |
|  8032128.5 |            0.0 |
|  7974481.5 |            0.0 |
|  7911392.5 |            0.0 |
|  7849293.5 |            0.0 |
|  7788162.0 |            0.0 |
|  7727975.5 |            0.0 |
|  7674597.0 |            0.0 |
|  7616146.0 |            0.0 |
|  7558579.0 |            0.0 |
|  7501875.5 |            0.0 |
|  7451565.0 |            0.0 |
|  7396449.5 |            0.0 |
|  7342144.0 |            0.0 |
|  7288629.5 |            0.0 |
|  7235890.0 |            0.0 |
|  7189072.5 |            0.0 |
|  7137758.5 |            0.0 |
|  7087172.0 |            0.0 |
|  7037297.5 |            0.0 |
|  6988120.0 |            0.0 |
|  6944444.5 |            0.0 |
|  6896551.5 |            0.0 |
|  6849315.0 |            0.0 |
|  6802721.0 |            0.0 |
|  6761325.0 |            0.0 |
|  6715916.5 |            0.0 |
|  6671114.0 |            0.0 |
|  6626905.0 |            0.0 |
|  6583278.5 |            0.0 |
|  6544502.5 |            0.0 |
|  6501950.5 |            0.0 |
|  6459948.5 |            0.0 |
|  6418485.0 |            0.0 |
|  6377551.0 |            0.0 |
|  6341154.0 |            0.0 |
|  6301197.0 |            0.0 |
|  6261741.0 |            0.0 |
|  6222775.5 |            0.0 |
|  6188119.0 |            0.0 |
|  6150061.5 |            0.0 |
|  6112469.5 |            0.0 |
|  6075334.0 |            0.0 |
|  6038647.5 |            0.0 |
|  6006006.0 |            0.0 |
|  5970149.5 |            0.0 |
|  5934718.0 |            0.0 |
|  5899705.0 |            0.0 |
|  5865102.5 |            0.0 |
|  5834305.5 |            0.0 |
|  5800464.0 |            0.0 |
|  5767012.5 |            0.0 |
|  5733945.0 |            0.0 |
|  5704506.5 |            0.0 |
|  5672149.5 |            0.0 |
